step,time_seconds,total_vehicles,north_queue,south_queue,east_queue,west_queue,north_speed,south_speed,east_speed,west_speed,north_wait,south_wait,east_wait,west_wait,north_vehicles,south_vehicles,east_vehicles,west_vehicles,avg_speed_kmh,avg_waiting_time,max_waiting_time,halting_count,cars,trucks,buses,motorcycles,emergency_vehicles,emergency_detected,emergency_direction,emergency_direction_name,emergency_priority,emergency_distance,emergency_vehicle_id,emergency_type,north_congestion,south_congestion,east_congestion,west_congestion
47,47,62,57,5,0,0,20.5084818697674,44.141048563321135,0,0,0.8947368421052632,0.0,0,0,57,5,0,0,22.41433402247335,0.8225806451612904,18.0,13,50,4,2,6,0,0,0,none,0,999.0,,,56,13,20,20
48,48,64,59,5,0,0,21.292536950560027,46.14466825206446,0,0,0.7457627118644068,0.0,0,0,59,5,0,0,23.234109708490067,0.6875,19.0,11,52,4,2,6,0,0,0,none,0,999.0,,,55,12,20,20
49,49,64,59,5,0,0,22.573686847070526,46.39630150182414,0,0,0.8983050847457628,0.0,0,0,59,5,0,0,24.434828616973157,0.828125,20.0,10,52,4,2,6,0,0,0,none,0,999.0,,,55,12,20,20
50,50,65,60,5,0,0,23.580357818008316,39.96715474468787,0,0,1.05,0.0,0,0,60,5,0,0,24.840880658522124,0.9692307692307692,21.0,12,53,4,2,6,0,0,0,none,0,999.0,,,54,16,20,20
51,51,68,61,7,0,0,22.90815072608182,43.671968742375775,0,0,1.2295081967213115,0.0,0,0,61,7,0,0,25.045602580700315,1.1029411764705883,22.0,15,56,4,2,6,0,0,0,none,0,999.0,,,55,15,20,20
52,52,67,57,10,0,0,22.47554771618976,43.861935393191786,0,0,1.5614035087719298,0.0,0,0,57,10,0,0,25.667545876936334,1.328358208955224,23.0,14,55,4,2,6,0,0,0,none,0,999.0,,,55,16,20,20
53,53,67,58,9,0,0,22.483609721089646,44.862368647304315,0,0,1.8103448275862069,0.0,0,0,58,9,0,0,25.489711666402066,1.5671641791044777,24.0,17,54,4,2,7,0,0,0,none,0,999.0,,,55,15,20,20
54,54,70,59,11,0,0,22.47993563056518,43.5837775708548,0,0,2.0508474576271185,0.0,0,0,59,11,0,0,25.79625364975355,1.7285714285714286,25.0,19,57,4,2,7,0,0,0,none,0,999.0,,,55,17,20,20
55,55,69,56,13,0,0,22.707654136669827,43.25750206605825,0,0,2.4642857142857144,0.0,0,0,56,13,0,0,26.579364616119822,2.0,26.0,18,56,4,2,7,0,0,0,none,0,999.0,,,55,18,20,20
56,56,69,55,14,0,0,23.348044739622818,44.06178481589906,0,0,2.8545454545454545,0.0,0,0,55,14,0,0,27.550832581186114,2.2753623188405796,27.0,19,56,4,2,7,0,0,0,none,0,999.0,,,55,19,20,20
